,index,0
1044,recursos,9
1045,dessa,67
1046,proverem,1
1047,habitantes,8
1048,necessário,11
1049,ameias,2
1050,barbacã,2
1051,quais,16
1052,sido,32
1053,substituídas,1
1054,inacessíveis,1
1055,ofereciam,3
1056,resistência,5
1057,inexpugnável,3
1058,posição,34
1059,achava,20
1060,causa,49
1061,tribos,4
1062,embora,32
1063,retirassem,1
1064,vizinhanças,5
1065,lugares,5
1066,habitados,1
1067,colonos,3
1068,entranhassem,1
1069,costumavam,3
1070,contudo,17
1071,correrias,3
1072,atacar,11
1073,brancos,22
1074,traição,13
1075,circulo,5
1076,algumas,43
1077,cabanas,1
1078,moravam,1
1079,s,1
1080,pobres,1
1081,desejosos,1
1082,rápida,9
1083,tinhamse,3
1084,animado,3
1085,estabelecer,1
1086,parcerias,1
1087,vinte,14
1088,facilmente,6
1089,praticarem,1
1090,preciosas,2
1091,vender,4
1092,costa,1
1093,estes,15
1094,precauções,4
1095,tomavam,1
1096,fazendo,24
1097,paliçadas,2
1098,reunindose,1
1099,uns,20
1100,comum,4
1101,ocasião,24
1102,perigo,48
1103,vinham,9
1104,abrigarse,2
1105,castelo,3
1106,feudal,1
1107,idade,9
1108,média,2
1109,recebia,5
1110,ricohomem,1
1111,proteção,3
1112,asilo,2
1113,vassalos,3
1114,socorriaos,1
1115,todas,62
1116,necessidades,1
1117,estimado,2
1118,respeitado,3
1119,confiados,2
1120,vizinhança,1
1121,esses,43
1122,deste,24
1123,modo,20
1124,caso,19
1125,ataque,24
1126,moradores,2
1127,podiam,14
1128,contar,11
1129,próprios,8
1130,prático,1
1131,avisado,3
1132,haviase,1
1133,premunido,1
1134,ocorrência,1
1135,mantinha,5
1136,capitães,1
1137,daqueles,11
1138,tempos,4
1139,coloniais,1
1140,banda,20
1141,homens,105
1142,ousados,1
1143,destemidos,3
1144,reunindo,1
1145,civilizado,4
1146,astúcia,1
1147,agilidade,11
1148,índio,338
1149,quem,145
1150,aprendido,2
1151,guerrilheiros,1
1152,soldados,1
1153,conhecia,26
1154,eles,51
1155,disciplina,4
1156,militar,2
1157,rigorosa,2
1158,justa,4
1159,lei,9
1160,chefe,28
1161,dever,25
1162,obediência,9
1163,passiva,3
1164,igual,5
1165,lucros,2
1166,casos,1
1167,extremos,4
1168,decisão,2
1169,proferida,3
1170,conselho,5
1171,presidido,1
1172,cumpriase,2
1173,sem,164
1174,apelo,1
1175,demora,4
1176,hesitação,4
1177,força,80
1178,necessidade,16
1179,constituído,1
1180,baraço,2
1181,cutelo,2
1182,baixa,19
1183,justiça,8
1184,dentro,25
1185,domínios,2
1186,devemos,9
1187,declarar,1
1188,rara,2
1189,vez,115
1190,tornara,2
1191,precisa,10
1192,aplicação,2
1193,severidade,9
1194,salutar,1
1195,conservar,6
1196,ordem,42
1197,harmonia,5
1198,chegava,14
1199,venda,1
1200,anterior,2
1201,saída,9
1202,armada,1
1203,lisboa,3
1204,apurava,1
1205,ganho,3
1206,troca,1
1207,necessários,2
1208,volta,33
1209,prestava,1
1210,contas,7
1211,outra,56
1212,distribuída,1
1213,igualmente,4
1214,quarenta,6
1215,recebiam,3
1216,dinheiro,3
1217,consumo,1
1218,vivia,10
1219,desconhecida,3
1220,ignorada,1
1221,comunhão,1
1222,governandose,1
1223,leis,4
1224,usos,2
1225,costumes,6
1226,unidos,1
1227,ambição,8
1228,riqueza,14
1229,ligados,3
1230,respeito,30
1231,hábito,7
1232,superioridade,5
1233,moral,7
1234,inteligência,20
1235,exercem,1
1236,massas,2
1237,companheiros,67
1238,imposto,1
1239,torrão,2
1240,pedaço,2
1241,fragmento,2
1242,primitiva,3
1243,ai,37
1244,reconhecia,3
1245,duque,3
1246,bragança,2
1247,corriam,10
1248,viam,5
1249,quinas,1
1250,portuguesas,1
1251,diante,55
1252,frontes,1
1253,inclinavam,1
1254,cumprido,3
1255,consciência,15
1256,tranqüila,8
1257,dá,7
1258,mando,1
1259,absoluto,2
1260,rodeado,5
1261,considerava,5
1262,amigos,23
1263,feliz,31
1264,compunha,1
1265,pessoas,16
1266,lauriana,52
1267,paulista,1
1268,imbuída,1
1269,prejuízos,4
1270,abusões,2
1271,religiosas,1
1272,daquele,19
1273,egoísta,5
1274,fosse,64
1275,capaz,6
1276,ato,8
1277,diogo,54
1278,tarde,36
1279,prosseguir,2
1280,pai,118
1281,sucedeu,6
1282,honras,2
1283,forais,1
1284,moço,117
1285,flor,54
1286,gastava,1
1287,caçadas,1
1288,filha,78
1289,cecília,458
1290,dezoito,2
1291,deusa,1
1292,mundo,31
1293,iluminava,9
1294,sorriso,62
1295,alegrava,1
1296,gênio,11
1297,travesso,3
1298,mimosa,3
1299,feceirice,1
1300,isabel,196
1301,sobrinha,3
1302,dissessem,1
1303,suspeitavam,1
1304,fruto,11
1305,amores,4
1306,índia,45
1307,cativado,1
1308,demoreime,1
1309,cena,49
1310,falar,23
1311,principais,4
1312,personagens,3
1313,drama,6
1314,porque,96
1315,preciso,55
1316,compreendam,1
1317,passaram,9
1318,deixarei,1
1319,perfis,1
1320,desenhem,1
1321,mesmos,3
1322,iii,4
1323,bandeira,1
1324,meiodia,2
1325,troço,3
1326,cavaleiros,11
1327,constaria,1
1328,quinze,4
1329,costeava,3
1330,estavam,35
1331,armados,7
1332,batia,6
1333,ancas,1
1334,animal,36
1335,cada,49
1336,deles,25
1337,trazia,17
1338,cinta,18
1339,pistoletes,1
1340,punhal,15
1341,ilharga,2
1342,calção,1
1343,arcabuz,5
1344,passado,49
1345,tiracolo,3
1346,ombro,24
1347,adiante,5
1348,tocavam,2
1349,carregados,1
1350,caixas,2
1351,volumes,1
1352,cobertos,6
1353,sarapilheira,1
1354,alcatroada,1
1355,abrigava,1
1356,trote,1
1357,venciam,2
1358,distancia,34
1359,separava,7
1360,tropa,3
1361,caminheiros,3
1362,atrasarem,1
1363,marcha,8
1364,montavam,1
1365,garupa,1
1366,ganhavam,1
1367,dianteira,1
1368,naquele,21
1369,davase,2
1370,nome,35
1371,bandeiras,1
1372,essas,36
1373,caravanas,1
1374,entranhavam,1
1375,sertões,4
1376,brilhantes,9
1377,esmeraldas,3
1378,descoberta,4
1379,rios,3
1380,terras,1
1381,desconhecidos,1
1382,nesse,66
1383,mesma,53
1384,voltava,14
1385,terrenos,2
1386,auríferos,2
1387,ocasiões,6
1388,aproximaram,1
1389,seguia,9
1390,passos,38
1391,oito,6
1392,parecido,2
1393,marchava,2
1394,governando,1
1395,cavalo,5
1396,garbo,1
1397,gentileza,4
1398,quebrou,9
1399,silêncio,52
1400,geral,8
1401,vamos,18
1402,rapazes,3
1403,alegremente,2
1404,diligência,1
1405,chegaremos,3
1406,cedo,5
1407,restamnos,2
1408,umas,9
1409,bandeiristas,1
1410,ouvir,16
1411,estas,39
1412,palavras,92
1413,chegou,18
1414,esporas,2
1415,cavalgadura,3
1416,avançando,4
1417,colocouse,4
1418,parece,11
1419,tendes,34
1420,pressa,3
1421,chegar,19
1422,sr,77
1423,álvaro,279
1424,acento,6
1425,italiano,173
1426,cuja,33
1427,expressão,41
1428,ironia,5
1429,disfarçada,1
1430,suspeita,6
1431,decerto,16
